Unnamed: 0,Age,Workclass,Fnlwgt,Education-num,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Income
3733,64, State-gov,264544,14, Prof-specialty, Wife, White, Female,0,0,5, United-States, >50K
16632,29, Self-emp-not-inc,322238,9, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
13405,29, Private,104256,9, Sales, Not-in-family, White, Female,0,0,34, United-States, <=50K
28012,35, Private,82552,12, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
29015,35, Private,194960,9, Farming-fishing, Not-in-family, Other, Male,0,0,40, Puerto-Rico, <=50K
11627,29, Private,253752,6, Farming-fishing, Wife, White, Female,0,0,40, United-States, <=50K
30498,20, Private,653574,10, Other-service, Own-child, White, Male,0,0,33, El-Salvador, <=50K
2450,46, Private,86220,13, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
6793,23, Private,179423,13, Adm-clerical, Not-in-family, White, Female,0,0,5, United-States, <=50K
1504,60, Private,290593,14, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
21867,25, Self-emp-not-inc,37741,13, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
21635,27, Self-emp-not-inc,404998,11, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
28163,24, Private,417668,13, Prof-specialty, Own-child, White, Male,0,0,30, United-States, <=50K
4834,81, Private,364099,10, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
27592,30, Private,108247,13, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
22198,43, Private,151089,10, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
13531,50, Private,35224,9, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
15085,60, Local-gov,138502,13, Protective-serv, Husband, White, Male,7298,0,48, United-States, >50K
20464,57, Self-emp-not-inc,275943,4, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
4129,20, Private,190423,10, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
30159,41, Private,96741,12, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
2306,42, Private,37869,10, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19047,38, Private,197711,6, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
766,31, State-gov,301526,10, Other-service, Other-relative, White, Male,0,0,40, United-States, <=50K
803,31, Private,51471,9, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
30397,61, Self-emp-inc,72886,9, Exec-managerial, Husband, White, Male,0,0,38, United-States, >50K
27801,47, State-gov,160045,10, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
7224,32, Private,210562,11, Craft-repair, Own-child, White, Male,0,0,46, United-States, <=50K
19102,20, Private,100605,9, Sales, Own-child, Other, Male,0,0,40, Puerto-Rico, <=50K
29819,52, Local-gov,244214,9, Sales, Husband, White, Male,0,0,35, United-States, <=50K
19088,43, Private,130126,13, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
20005,44, Private,191814,10, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
20380,21, Private,248512,10, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
15643,72, Self-emp-not-inc,75890,10, Priv-house-serv, Unmarried, Asian-Pac-Islander, Female,0,0,4, United-States, <=50K
29471,37, Self-emp-not-inc,348739,15, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
29589,21, Private,108687,10, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
13480,44, Private,175641,7, Sales, Husband, White, Male,0,0,40, United-States, >50K
3689,70, Private,35494,9, Exec-managerial, Husband, White, Male,0,0,30, United-States, <=50K
20575,38, Private,186934,10, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
1061,61, Private,128848,9, Machine-op-inspct, Husband, White, Male,3471,0,40, United-States, <=50K
15918,54, Private,227832,10, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
41,53, Self-emp-not-inc,88506,13, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
27235,44, Private,192225,13, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
28511,57, Private,127277,16, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, >50K
12801,26, Self-emp-inc,176981,13, Adm-clerical, Own-child, White, Female,0,0,50, United-States, <=50K
14316,22, Private,103277,10, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
21224,58, Self-emp-inc,258883,13, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
3213,74, Federal-gov,181508,9, Other-service, Not-in-family, White, Male,0,0,17, United-States, <=50K
22227,53, State-gov,197184,14, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
6595,45, Self-emp-inc,191776,14, Sales, Unmarried, White, Female,25236,0,42, United-States, >50K
21618,60, Private,120067,5, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
25725,32, Private,53206,13, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, >50K
8229,36, Private,137314,11, Tech-support, Not-in-family, White, Male,0,0,45, United-States, <=50K
28157,36, Private,30267,9, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
12821,50, Private,222020,9, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
2923,42, Self-emp-not-inc,27821,11, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
16316,25, Private,148300,13, Prof-specialty, Own-child, White, Female,0,0,15, United-States, <=50K
30870,56, Self-emp-not-inc,26716,13, Exec-managerial, Husband, White, Male,0,0,20, United-States, >50K
7304,23, Private,398904,13, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
13372,25, Private,255849,9, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
28349,65, Self-emp-inc,184965,16, Exec-managerial, Husband, White, Male,99999,0,40, United-States, >50K
2053,24, Private,233777,10, Sales, Unmarried, White, Male,0,0,50, Mexico, <=50K
4936,46, Federal-gov,340718,7, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
9760,30, Private,235124,9, Transport-moving, Husband, White, Male,99999,0,40, United-States, >50K
10397,52, Private,67090,9, Sales, Husband, White, Male,0,0,44, United-States, <=50K
12244,76, Private,98695,10, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
25252,24, Private,111450,9, Transport-moving, Unmarried, Black, Male,0,0,40, United-States, <=50K
2545,35, Private,101387,9, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
27638,26, Local-gov,159662,6, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
18527,48, State-gov,31141,10, Protective-serv, Husband, White, Male,0,1902,40, United-States, >50K
101,44, Private,198282,13, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
18448,54, Private,378747,6, Transport-moving, Unmarried, Black, Male,0,0,45, United-States, >50K
21686,65, Private,123484,9, Prof-specialty, Other-relative, White, Female,0,0,25, United-States, <=50K
6384,35, Private,38948,10, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
24653,36, Self-emp-not-inc,167691,10, Other-service, Unmarried, White, Female,0,0,50, United-States, <=50K
28328,21, Private,247779,7, Sales, Own-child, White, Female,0,0,38, United-States, <=50K
26198,38, Private,277022,10, Adm-clerical, Unmarried, White, Female,0,0,40, Columbia, <=50K
2825,38, Private,187264,9, Exec-managerial, Wife, White, Female,0,0,55, United-States, <=50K
27370,26, Private,164938,9, Sales, Husband, White, Male,0,0,40, United-States, <=50K
7686,35, Local-gov,107233,9, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,55, United-States, <=50K
30627,70, Private,102610,6, Handlers-cleaners, Husband, White, Male,0,0,32, United-States, <=50K
1943,46, Private,243190,9, Adm-clerical, Wife, White, Female,7688,0,40, United-States, >50K
30107,32, Private,286675,10, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
5955,42, Private,156580,10, Machine-op-inspct, Wife, White, Female,0,0,37, United-States, >50K
25533,33, Local-gov,422718,9, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
31321,59, Private,184493,10, Sales, Husband, White, Male,0,0,40, United-States, >50K
11418,38, Private,275338,13, Sales, Unmarried, White, Female,1151,0,40, United-States, <=50K
31740,40, Private,379919,10, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
14653,28, Private,137898,12, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
24026,49, Local-gov,98738,9, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
24531,46, Private,551962,9, Handlers-cleaners, Unmarried, White, Female,0,0,50, Peru, <=50K
20427,54, Private,163894,10, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
20773,22, Private,22966,10, Handlers-cleaners, Husband, White, Male,0,0,6, United-States, <=50K
12138,41, Local-gov,37848,9, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
27567,56, Self-emp-not-inc,73746,10, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
6084,32, Private,271276,9, Transport-moving, Husband, White, Male,0,0,80, United-States, >50K
6952,46, Self-emp-inc,283004,11, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,63, Thailand, <=50K
10018,45, Private,162494,9, Sales, Own-child, White, Female,0,0,19, United-States, <=50K
2447,29, Private,32897,9, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
30918,61, State-gov,379885,16, Prof-specialty, Husband, White, Male,0,1902,40, United-States, >50K
16114,60, Private,187458,4, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27402,61, State-gov,162678,3, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
4420,52, Private,131631,7, Machine-op-inspct, Unmarried, Black, Male,0,0,40, United-States, <=50K
2733,49, Self-emp-inc,109705,10, Exec-managerial, Unmarried, White, Female,0,0,32, United-States, <=50K
12331,36, Private,102729,10, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
10090,30, Private,349148,13, Prof-specialty, Not-in-family, White, Male,0,0,70, United-States, <=50K
17083,24, Private,218215,11, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
17384,45, Private,320192,2, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
26890,53, Self-emp-not-inc,105478,13, Exec-managerial, Husband, White, Male,0,2415,40, United-States, >50K
8008,20, Private,138107,9, Handlers-cleaners, Own-child, Black, Male,0,0,35, United-States, <=50K
3519,55, Private,52953,9, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
829,24, Self-emp-inc,165474,13, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
7808,38, Private,215917,10, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
20305,44, Federal-gov,113597,10, Exec-managerial, Husband, White, Male,0,0,55, United-States, >50K
30198,23, Private,218343,12, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
4653,30, Private,155343,9, Craft-repair, Husband, White, Male,5013,0,40, United-States, <=50K
185,34, Private,304030,9, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K
19887,60, Private,198170,10, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
4490,29, Private,107458,13, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
21896,34, Private,104293,13, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
13377,42, Private,259757,13, Prof-specialty, Unmarried, White, Male,0,653,50, United-States, >50K
29140,31, Private,29662,10, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
28939,52, Private,206862,9, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
12983,27, Private,134890,13, Tech-support, Own-child, White, Male,0,0,50, United-States, <=50K
11326,26, Private,259505,10, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
6292,18, Private,302859,9, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
26731,84, Private,188328,9, Prof-specialty, Not-in-family, White, Female,0,0,16, United-States, <=50K
21890,25, Private,281627,14, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
4574,36, Self-emp-inc,37019,9, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, <=50K
24463,29, Private,349116,9, Sales, Unmarried, White, Female,0,0,25, United-States, <=50K
27216,44, Private,124747,9, Exec-managerial, Wife, White, Female,3103,0,40, United-States, >50K
26419,27, Private,193898,13, Sales, Husband, White, Male,0,0,45, United-States, >50K
10132,18, Self-emp-not-inc,132986,9, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
20233,51, Private,141645,10, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
10877,31, Private,98639,9, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
2126,20, Private,81853,10, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,15, United-States, <=50K
18109,58, Self-emp-not-inc,193434,9, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
20040,26, Private,258768,10, Transport-moving, Not-in-family, Black, Male,2174,0,75, United-States, <=50K
15769,45, Local-gov,191776,14, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
16483,31, Private,152156,9, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
13172,39, State-gov,114366,13, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
31038,33, Private,202642,13, Prof-specialty, Other-relative, Black, Female,0,0,40, Jamaica, <=50K
21948,45, Private,178922,5, Other-service, Not-in-family, White, Female,0,0,15, United-States, <=50K
5764,54, Private,88278,16, Prof-specialty, Husband, White, Male,0,1977,50, United-States, >50K
30095,41, Private,168293,14, Exec-managerial, Unmarried, White, Female,0,0,45, United-States, <=50K
27657,48, Private,61985,5, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
8450,52, Private,122109,9, Prof-specialty, Unmarried, White, Female,0,323,40, United-States, <=50K
433,30, Private,29662,12, Other-service, Wife, White, Female,0,0,25, United-States, >50K
14117,41, Private,320984,15, Prof-specialty, Husband, White, Male,99999,0,65, United-States, >50K
353,46, Local-gov,329752,7, Transport-moving, Husband, White, Male,0,0,30, United-States, <=50K
8365,34, Private,241360,9, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
604,35, Self-emp-not-inc,194404,12, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
19409,20, Private,164219,9, Handlers-cleaners, Own-child, White, Male,0,0,45, United-States, <=50K
14411,20, Private,88126,10, Adm-clerical, Own-child, White, Male,0,0,9, England, <=50K
31645,32, Self-emp-not-inc,112115,13, Prof-specialty, Husband, White, Male,7688,0,40, United-States, >50K
23264,18, Private,249857,10, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
4275,44, Private,67671,10, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
9322,26, Private,523067,10, Prof-specialty, Own-child, White, Male,0,0,3, El-Salvador, <=50K
17037,37, Private,126675,9, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
4953,49, Private,142287,10, Adm-clerical, Husband, White, Male,0,1902,50, United-States, >50K
21524,37, Private,299090,9, Priv-house-serv, Not-in-family, White, Female,0,0,30, United-States, <=50K
3571,58, Private,519006,9, Craft-repair, Husband, White, Male,0,0,52, United-States, <=50K
8452,72, Private,195184,9, Priv-house-serv, Unmarried, White, Female,0,0,12, Cuba, <=50K
32364,45, Private,190482,11, Craft-repair, Husband, White, Male,0,0,76, United-States, <=50K
6670,19, Private,27433,7, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
17306,30, Private,75573,13, Exec-managerial, Not-in-family, White, Female,0,0,45, Germany, <=50K
15984,54, Local-gov,279452,9, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
7546,54, Private,169785,10, Exec-managerial, Not-in-family, White, Female,0,0,40, Italy, <=50K
9989,35, Private,186489,5, Handlers-cleaners, Husband, White, Male,0,0,46, United-States, <=50K
25260,46, Private,364548,13, Sales, Not-in-family, White, Male,8614,0,40, United-States, >50K
24782,29, Local-gov,188909,13, Prof-specialty, Own-child, Black, Female,0,0,42, United-States, <=50K
31043,72, Self-emp-not-inc,117017,9, Other-service, Husband, White, Male,0,0,8, United-States, <=50K
1039,34, Self-emp-not-inc,164309,7, Sales, Wife, White, Female,0,0,8, United-States, <=50K
24674,25, Private,113099,9, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
31928,45, Private,44489,9, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
11091,49, Private,102583,10, Prof-specialty, Husband, White, Male,0,1848,44, United-States, >50K
19764,22, Private,228480,9, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
31665,41, Federal-gov,193882,9, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
27430,34, Self-emp-not-inc,156809,10, Craft-repair, Not-in-family, White, Male,0,1504,60, United-States, <=50K
5331,53, Private,276515,13, Exec-managerial, Own-child, White, Male,0,0,40, Cuba, <=50K
18441,23, Private,159709,9, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
17556,25, Private,137645,13, Sales, Not-in-family, Black, Female,0,0,40, United-States, <=50K
31883,27, Private,198286,10, Other-service, Not-in-family, White, Female,0,0,34, United-States, <=50K
3958,42, Private,310632,10, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
27940,35, Private,148015,13, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
8482,26, Private,247025,9, Protective-serv, Unmarried, White, Male,0,0,44, United-States, <=50K
20076,43, Private,163455,9, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
540,44, Private,210525,10, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
16868,53, Private,178356,12, Exec-managerial, Husband, White, Male,2407,0,99, United-States, <=50K
